GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HappyShop,ci553.happyshop.storageAccess,DerbyRW,809,0,62,0,219,0,44,0,13,0
HappyShop,ci553.happyshop.storageAccess,OrderFileManager,209,40,26,2,45,10,18,1,4,1
HappyShop,ci553.happyshop.storageAccess,ImageFileManager,76,0,2,0,17,0,4,0,3,0
HappyShop,ci553.happyshop.storageAccess,DatabaseRWFactory,10,0,0,0,3,0,3,0,3,0
HappyShop,ci553.happyshop.client.picker,PickerClient,33,0,0,0,12,0,3,0,3,0
HappyShop,ci553.happyshop.client.picker,PickerModel,96,89,10,2,30,20,12,6,7,5
HappyShop,ci553.happyshop.client.picker,PickerView,251,0,5,0,59,0,10,0,7,0
HappyShop,ci553.happyshop.client.picker,PickerController,11,0,0,0,5,0,3,0,3,0
HappyShop,ci553.happyshop.client.warehouse,HistoryWindow,135,0,8,0,30,0,9,0,5,0
HappyShop,ci553.happyshop.client.warehouse,WarehouseClient,56,0,0,0,19,0,3,0,3,0
HappyShop,ci553.happyshop.client.warehouse,WarehouseModel.UpdateForAction,57,0,0,0,10,0,1,0,1,0
HappyShop,ci553.happyshop.client.warehouse,WarehouseController,45,0,9,0,18,0,10,0,2,0
HappyShop,ci553.happyshop.client.warehouse,WarehouseView.new ListCell() {...},85,0,4,0,17,0,4,0,2,0
HappyShop,ci553.happyshop.client.warehouse,WarehouseModel.ManageProductType,21,0,0,0,4,0,1,0,1,0
HappyShop,ci553.happyshop.client.warehouse,WarehouseView,1399,18,14,0,264,6,24,1,17,1
HappyShop,ci553.happyshop.client.warehouse,AlertSimulator,191,0,10,0,42,0,12,0,7,0
HappyShop,ci553.happyshop.client.warehouse,WarehouseModel,747,31,71,0,207,9,72,1,31,1
HappyShop,ci553.happyshop.client.customer,CustomerController,31,0,6,0,12,0,7,0,2,0
HappyShop,ci553.happyshop.client.customer,CustomerView,715,12,8,0,150,4,12,1,8,1
HappyShop,ci553.happyshop.client.customer,CustomerModel,548,31,38,0,127,11,32,3,13,3
HappyShop,ci553.happyshop.client.customer,RemoveProductNotifier,231,0,10,0,54,0,13,0,8,0
HappyShop,ci553.happyshop.client.customer,CustomerClient,36,0,0,0,13,0,3,0,3,0
HappyShop,ci553.happyshop.orderManagement,OrderCounter,28,86,3,3,5,17,4,1,1,1
